657063,Gijón (España),9
377179,bilbao (España),9
606658,Raccoon City (Estados Unidos),7
981553,madrid (España),4
755896,Sevilla (España),4
620679,madrid (España),9
918340,Barcelona (España),10
141531,Huelva (España),7
663770,Córdoba (España),1
547226,Lleida (España),2
623239,Madrid (España),10
466206,MADRID (España),9
580021,Cádiz (España),3
903688,Barcelona (España),8
200396,lugo (España),4
606159,madrid (España),1
550907,MADRID (España),4
171552,Murcia (Lituania),8
832226,madrid (España),9
759796,Barcelona (España),10
391357,Qingoco (China),4
157765,Tarragona (España),7
693381,Garganta de Olduvai (Tanzania),8
900152,PONTEVEDRA - vigo (España),9
914125,Ladera del Monte Titano (San Marino),8
759078,Valls (España),4
250186,madrid (España),8
369212,Demonlandia (Tajikistan),5
695853,Valencia (España),1
737874,murcia (España),10
785869,Jaén (España),5
896195,Barcelona (España),9
277936,Bueu (España),5
875820,Barcelona (España),9
484225,Málaga (España),9
489669,Madrid (España),8
821782,Cinecittà (España),8
850753,Valladolid (España),2
626994,a CORUÑA (España),6
236953,Malaga (España),9
334052,Badalona (España),3
613329,lima (Perú),1
484036,sevilla (España),9
847723,Madrid (España),5
767639,Valencia (España),7
290675,Madrid (España),10
834187,Lleida (España),5
500370,Bogotá (Colombia),2
915394,Valladolid (España),4
162878,la laguna - tenerife - canarias (España),7
974864,Madrid (España),2
349609,MADRID (España),4
491210,Ciudad Real (España),6
889545,Santa Cruz de Tenerife (España),5
802202,Toledo (España),3
238612,Valencia (España),1
611410,Coruña (España),3
764285,Bilbao (España),8
243120,Cartagena (Colombia),9
373530,Sevilla (España),9
488617,Valencia (España),7
222905,Madrid (España),3
659226,Palencia (España),9
850271,Madrid (España),3
259015,Barcelona (España),8
460629,Bilbao Area (España),8
784741,muro de alcoy (España),4
609184,Sevilla (España),4
490121,Ourense (España),8
686869,Oviedo (España),1
221908,Madrid (España),3
696415,Elda (España),2
292264,Sevilla (España),8
276558,Madrid (España),8
100954,Barcelona (España),6
904122,Barcelona (España),5
132398,madrid (España),10
951701,Madrid (España),7
146573,Los Angeles (Estados Unidos),9
425907,Málaga (España),8
129266,teruel (España),9
202361,Valencia (España),9
298888,Telde (España),10
653018,logroño (España),6
585192,Barcelona (España),9
171487,Madrid (España),7
986972,Cáceres (España),7
356593,Alicante (España),9
885934,"Guadalajara, Jalisco (México)",8
650393,Barcelona (España),3
462564,Barcelona (España),9
403775,Posadas (Argentina),10
